Date	Value	Donations
2014-04-07	1000.0	0
2014-04-11	1100.0	1
2014-04-14	1200.0	2
2014-04-26	6400.0	4
2014-04-28	7025.0	9
2014-05-16	7525.0	10
2014-05-19	7575.0	11
2014-05-23	7625.0	12
2014-05-26	7750.0	14
2014-05-27	8750.0	15
2014-05-29	8800.0	16
2014-06-02	8850.0	17
2014-06-05	10100.0	21
2014-06-09	10300.0	24
2014-06-10	10350.0	25
2014-06-11	11425.0	31
2014-06-16	11475.0	32
2014-06-17	20825.0	38
2014-06-18	20925.0	39
2014-06-19	21345.0	41
2014-06-22	21645.0	45
2014-06-24	21695.0	46
2014-06-25	21845.0	48
2014-06-27	21945.0	49
2014-06-29	28045.0	52
2014-07-03	28195.0	53
2014-07-04	28205.0	54
2014-07-09	28255.0	55
2014-07-14	28383.0	57
2014-07-15	28883.0	58
2014-07-16	28983.0	59
2014-07-20	29133.0	62
2014-07-23	31573.0	69
2014-07-24	31073.0	70
2014-07-25	31123.0	71
2014-07-27	31173.0	72
2014-07-29	31703.0	74
2014-07-31	31903.0	76
2014-08-02	33201.0	80
2014-08-03	33851.0	84
2014-08-04	35909.0	96
2014-08-05	36109.0	98
2014-08-08	40459.0	102
2014-08-13	40559.0	103
2014-08-14	40426.0	105
2014-08-15	40476.0	106
2014-08-16	41126.0	109
2014-08-17	42126.0	114
2014-08-18	42226.0	115
2014-08-19	42326.0	116
2014-08-20	42626.0	118
2014-08-21	42651.0	119
2014-08-22	42751.0	120
2014-08-25	43801.0	122
2014-08-26	44101.0	124
2014-08-27	44201.0	125
2014-08-29	44251.0	126
2014-08-30	44301.0	127
2014-08-31	44306.0	128
2014-09-01	44806.0	129
2014-09-02	45356.0	136
2014-09-03	45956.0	138
2014-09-05	46806.0	142
2014-09-06	49456.0	150
2014-09-07	50906.0	157
2014-09-08	52256.0	163
2014-09-09	52866.0	168
2014-09-10	53016.0	170
2014-09-11	56441.0	175
2014-09-12	58041.0	178
2014-09-13	58191.0	179
2014-09-14	59169.0	185
2014-09-15	59744.0	191
2014-09-16	61019.0	197
2014-09-17	61519.0	202
2014-09-18	61894.0	204
2014-09-19	62349.0	212
2014-09-20	63356.0	217
2014-09-21	64456.0	219
2014-09-22	64706.0	223
2014-09-23	65506.0	228
2014-09-25	66031.0	235
2014-09-26	70356.0	256
2014-09-27	71956.0	272
2014-09-28	72506.0	275
2014-09-29	76756.0	279
2014-09-30	78906.0	285
2014-10-02	79331.0	288
2014-10-03	79531.0	289
2014-10-04	79781.0	290
2014-10-05	80656.0	297
2014-10-06	81506.0	300
2014-10-07	121056.0	308
2014-10-08	121456.0	314
2014-10-09	122156.0	319
2014-10-10	122431.0	323
2014-10-11	123531.0	329
2014-10-12	124236.0	333
2014-10-13	125586.0	336
2014-10-14	126159.0	342
2014-10-15	212459.0	348
2014-10-16	212559.0	349
2014-10-17	212809.0	352
2014-10-18	212959.0	354
